page,text_preview,num_tables_found
1,"LAMPIRAN
DATA BENCANA
INDONESIA
2019
Data Bencana Indonesia 2019 127",0
2,"LAMPIRAN 1 - BENCANA 2019
Tabel L1. Kejadian Bencana di Indonesia Tahun 2019 Berdasarkan Jenis Kejadian
Jenis Jumlah Korban Kerusakan
Bencana Kejadian
Meninggal Luka-Luka Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
& Hilang Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
PUTING 1.387 21 290 50.105 2.731 5.749 25.337 - 170 138 24
BELIUNG
BANJIR 784 367 1.088 1.801.151 4.01",1
3,"Tabel L2. Kejadian Bencana di Indonesia Tahun 2019 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
11 ACEH 180 - 13 72.994 150 81 488 5.290 13 10 -
12 SUMATERA UTARA 71 9 6 26.517 113 69 270 6.762 11 8 2
1",1
4,"LAMPIRAN 1 - BENCANA 2019
Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
11 ACEH 11",1
5,"Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1202 MANDAIL- 2 - - 300 1",1
6,"LAMPIRAN 1 - BENCANA 2019
Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)",1
7,"Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1471 KOTA 6 1 - - - - - -",1
8,"LAMPIRAN 1 - BENCANA 2019
Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)",1
9,"Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1807 WAY 1 - - 557 - - - ",1
10,"LAMPIRAN 1 - BENCANA 2019
Tabel L3. Kejadian Bencana di Indonesia Berdasarkan Tahun 2019 Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabu- Kejadian
Meninggal Luka- Mengungsi & Rumah Rumah Rumah Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabu- paten/
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
paten/ Kota
Berat Sedang Ringan
Kota
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)",1
