page,text_preview,num_tables_found
1,"LLAAMM PPII RRAANN
DDAATTAA BBEENNCCAANNAA
II NN DDOONN EESS IIAA 22002244
Data Bencana Indonesia 2024 109",0
2,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L1. Kejadian Bencana di Indonesia Tahun 2024 Berdasarkan Jenis Kejadian
Jenis Bencana Jumlah Korban Kerusakan
Kejadian Meninggal Luka- Mengungsi & Rumah Fasillitas Fasilitas Fasilitas
& Hilang Luka Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
BANJIR 1.420 235 10.920 6.301.056 4.066 6.351 22.247 1.237.372 59 54 23
KEBAKARAN HUTAN DAN 973 1 4 83",2
3,"Tabel L2. Kejadian Bencana di Indonesia Tahun 2024 Berdasarkan Provinsi (Lanjutan)
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
52 NUSA TENGGARA 77 2 10 609.963 137 170 446 7.243 4 1 1
BARAT
53 NUSA TENGGARA 53 31 69 77.901 2.489 84 267 5.23",1
4,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
11 ACEH 1101 ACEH",1
5,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1223 LABUHANBATU 24 - - 23.277 9 27 23 2.570 - - ",1
6,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1408 S",1
7,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1706 MUKO MUKO 2 - - 80 1 - - -
1707 LEBONG 1 - 1",1
8,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3203 C",1
9,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3320 JEPARA 8 - - 45.415 14 208 4.094 - - -
3321 ",1
10,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
3525 G",1
