0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
Jenis Bencana,"Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,,2,1,,,
,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak",Rumah,,,,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan",2,1,,,
,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,,,,2,1,,,
,,Jiwa,,,Unit,,,,,,,2,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),2,1,,,
BANJIR,1.420,235,10.920,6.301.056,4.066,6.351,22.247,1.237.372,59,54,23,2,1,,,
"KEBAKARAN HUTAN DAN
LAHAN",973,1,4,838,16,1,-,-,-,-,-,2,1,,,
CUACA EKSTREM,733,68,237,82.486,2.002,3.821,16.540,-,297,75,10,2,1,,,
TANAH LONGSOR,207,235,123,59.531,2.502,1.304,3.279,-,25,12,5,2,1,,,
KEKERINGAN,89,-,-,1.480.331,-,-,-,-,-,-,-,2,1,,,
"GELOMBANG PASANG &
ABRASI",27,8,1,4.352,42,11,108,501,1,2,-,2,1,,,
GEMPA BUMI,15,1,181,116.520,1.916,3.795,9.320,-,205,267,17,2,1,,,
ERUPSI GUNUNG API,8,55,65,91.157,2.560,12,411,235,25,5,27,2,1,,,
JUMLAH,3.472,603,11.531,8.136.271,13.104,15.295,51.905,1.238.108,612,415,82,2,1,,,
"Kode
Wilayah
Provinsi",Nama Provinsi,"Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,2,2,,,
,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,"Fasillitas
Pendidikan","Fasilitas
Peribadatan",2,2,"Fasilitas
Kesehatan",,
,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,,,2,2,,,
,,,Jiwa,,,Unit,,,,,,2,2,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),2,2,(13),,
11,ACEH,99,9,2,250.991,105,64,174,29.834,3,-,2,2,-,,
12,SUMATERA UTARA,350,51,167,362.186,315,236,787,69.117,21,10,2,2,-,,
13,SUMATERA BARAT,98,140,88,312.002,1.572,5.121,6.317,68.844,21,15,2,2,5,,
14,RIAU,68,-,-,249.662,45,14,152,58.064,2,3,2,2,16,,
15,JAMBI,132,4,5,316.097,74,58,429,86.147,4,5,2,2,-,,
16,SUMATERA SELATAN,271,15,17,608.823,561,226,635,103.894,1,1,2,2,-,,
17,BENGKULU,18,2,1,20.551,88,46,383,3.886,-,3,2,2,-,,
18,LAMPUNG,60,5,9,57.341,73,192,348,10.668,1,1,2,2,1,,
19,"KEPULAUAN
BANGKA BELITUNG",24,-,2,3.161,-,-,39,563,-,-,2,2,-,,
21,KEPULAUAN RIAU,79,5,5,6.098,49,114,696,204,-,-,2,2,-,,
31,DKI JAKARTA,19,3,2,9.968,-,20,16,2.729,-,-,2,2,-,,
32,JAWA BARAT,461,60,10.645,771.772,2.932,5.056,22.290,115.820,91,70,2,2,10,,
33,JAWA TENGAH,231,38,46,1.660.159,313,674,4.560,231.645,229,25,2,2,2,,
34,"DAERAH ISTIMEWA
YOGYAKARTA",62,3,8,57.202,19,96,1.690,-,21,16,2,2,2,,
35,JAWA TIMUR,434,30,56,425.931,1.095,2.006,8.047,54.686,134,220,2,2,8,,
36,BANTEN,97,9,6,143.048,110,122,677,13.899,2,1,2,2,-,,
51,BALI,35,14,18,7,73,85,153,-,5,9,2,2,-,,
"Kode
Wilayah
Provinsi",Nama Provinsi,"Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,3,1,,,
,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,"Fasillitas
Pendidikan","Fasilitas
Peribadatan",3,1,"Fasilitas
Kesehatan",,
,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,,,3,1,,,
,,,Jiwa,,,Unit,,,,,,3,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),3,1,(13),,
52,"NUSA TENGGARA
BARAT",77,2,10,609.963,137,170,446,7.243,4,1,3,1,1,,
53,"NUSA TENGGARA
TIMUR",53,31,69,77.901,2.489,84,267,5.235,29,9,3,1,29,,
61,KALIMANTAN BARAT,69,4,2,452.721,25,7,21,96.097,4,-,3,1,-,,
62,"KALIMANTAN
TENGAH",56,5,2,332.197,-,-,-,70.652,-,-,3,1,-,,
63,"KALIMANTAN
SELATAN",26,-,-,50.246,9,8,28,14.665,1,1,3,1,-,,
64,KALIMANTAN TIMUR,144,1,1,52.364,128,5,100,12.120,-,2,3,1,-,,
65,KALIMANTAN UTARA,10,3,-,25.924,787,-,5,5.551,-,-,3,1,-,,
71,SULAWESI UTARA,23,1,3,74.095,95,156,633,13.433,1,-,3,1,-,,
72,SULAWESI TENGAH,94,6,4,68.284,155,254,315,12.120,3,4,3,1,3,,
73,SULAWESI SELATAN,165,59,89,795.780,396,242,721,93.166,7,2,3,1,-,,
74,"SULAWESI
TENGGARA",20,2,3,36.084,20,17,51,7.217,-,-,3,1,-,,
75,GORONTALO,35,45,235,160.810,49,-,77,28.436,-,1,3,1,-,,
76,SULAWESI BARAT,22,1,3,23.386,64,50,211,2.749,1,-,3,1,-,,
81,MALUKU,36,7,3,23.886,77,85,194,3.885,1,2,3,1,-,,
82,MALUKU UTARA,55,23,25,46.588,66,81,169,5.016,-,2,3,1,-,,
91,P A P U A,19,2,-,7.739,1,-,316,1.589,4,7,3,1,-,,
92,PAPUA BARAT,18,4,1,14.503,8,-,59,1.740,-,3,3,1,-,,
93,PAPUA SELATAN,3,-,-,3.805,7,6,836,258,1,1,3,1,-,,
94,PAPUA TENGAH,5,19,4,5.357,-,-,-,495,-,-,3,1,-,,
95,"PAPUA
PEGUNUNGAN",3,-,-,4.680,1.146,-,44,-,21,1,3,1,5,,
96,PAPUA BARAT DAYA,4,-,-,14.959,21,-,19,6.441,-,-,3,1,-,,
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,4,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,4,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,4,1,,,
,,,,,Jiwa,,,Unit,,,,4,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),4,1,(13),(14),(15)
11,ACEH,1101,ACEH SELATAN,9,-,-,25.292,,,,4.339,4,1,-,-,-
,,1102,ACEH TENGGARA,10,1,-,9.821,25,16,24,1.313,4,1,-,-,-
,,1103,ACEH TIMUR,3,-,-,2.338,12,19,43,252,4,1,-,-,-
,,1104,ACEH TENGAH,4,4,-,473,9,10,6,88,4,1,-,-,-
,,1105,ACEH BARAT,7,3,-,8.828,1,,,2.890,4,1,-,-,-
