0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
"Jenis
Bencana","Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,,2,1,,,
,,"Meninggal
& Hilang",Luka-Luka,"Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam","Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan",2,1,,,
,,Jiwa,,,Unit,,,,,,,2,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),2,1,,,
"PUTING
BELIUNG",1.387,21,290,50.105,2.731,5.749,25.337,-,170,138,24,2,1,,,
BANJIR,784,367,1.088,1.801.151,4.019,2.171,10.199,222.067,440,343,77,2,1,,,
"KEBA-
KARAN
HUTAN DAN
LAHAN",746,10,3,63.047,-,-,-,-,-,-,-,2,1,,,
"TANAH
LONGSOR",719,121,130,19.158,424,330,1.004,-,36,32,3,2,1,,,
"KEKERIN-
GAN",123,-,-,3.872.358,-,-,-,-,-,-,-,2,1,,,
"GEMPA
BUMI",30,69,1.905,311.874,8.547,6.305,6.702,-,477,174,109,2,1,,,
"GELOM-
BANG
PASANG /
ABRASI",18,1,5,3.782,92,10,103,68,-,1,-,2,1,,,
"LETUSAN
GUNUNG
API",7,-,-,7.930,-,-,-,-,-,-,-,2,1,,,
JUMLAH,3.814,589,3.421,6.129.405,15.813,14.565,43.345,222.135,1.123,688,213,2,1,,,
"Kode
Wilayah
Provinsi",Nama Provinsi,"Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,3,1,,,
,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam","Fasillitas
Pendidikan","Fasilitas
Peribadatan",3,1,"Fasilitas
Kesehatan",,
,,,Jiwa,,,Unit,,,,,,3,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),3,1,(13),,
11,ACEH,180,-,13,72.994,150,81,488,5.290,13,10,3,1,-,,
12,SUMATERA UTARA,71,9,6,26.517,113,69,270,6.762,11,8,3,1,2,,
13,SUMATERA BARAT,103,11,83,36.380,294,256,487,6.062,19,14,3,1,5,,
14,RIAU,58,3,7,59.266,64,53,87,11.269,3,-,3,1,-,,
15,JAMBI,28,1,1,17.840,12,,69,4.038,3,1,3,1,2,,
16,SUMATERA SELATAN,95,4,6,23.915,190,22,370,4.753,10,5,3,1,3,,
17,BENGKULU,25,31,7,74.129,234,827,995,7.456,27,18,3,1,7,,
18,LAMPUNG,51,8,2,11.253,59,65,259,5.566,6,-,3,1,-,,
19,"KEPULAUAN BANGKA
BELITUNG",22,4,2,3.505,2,2,307,527,3,1,3,1,-,,
21,KEPULAUAN RIAU,21,-,1,1.450,3,11,19,130,3,1,3,1,-,,
31,DKI JAKARTA,6,3,1,2.335,,1,1,,-,1,3,1,-,,
32,JAWA BARAT,706,27,76,1.189.792,641,1.364,8.231,36.588,69,109,3,1,7,,
33,JAWA TENGAH,925,35,137,513.307,811,1.668,8.422,14.856,77,43,3,1,4,,
34,DI YOGYAKARTA,29,6,30,231.579,,12,258,49,15,5,3,1,-,,
35,JAWA TIMUR,623,18,47,583.621,425,2.301,5.846,33.738,80,73,3,1,13,,
36,BANTEN,65,6,10,23.982,325,141,992,2.825,28,29,3,1,1,,
51,BALI,56,7,22,53.781,14,3,79,9,15,20,3,1,-,,
52,"NUSA TENGGARA
BARAT",56,4,96,717.084,1.003,1.735,2.588,3.829,12,6,3,1,50,,
53,"NUSA TENGGARA
TIMUR",38,9,7,1.161.982,244,30,815,,5,4,3,1,-,,
61,KALIMANTAN BARAT,43,4,,31.738,120,22,92,6.915,3,-,3,1,1,,
62,"KALIMANTAN
TENGAH",76,-,1,95.627,9,4,51,9.344,70,45,3,1,15,,
63,"KALIMANTAN
SELATAN",154,20,11,28.673,112,87,312,1.476,3,4,3,1,-,,
64,KALIMANTAN TIMUR,54,4,,86.161,33,5,23,976,6,3,3,1,2,,
65,KALIMANTAN UTARA,21,-,1,42,,9,21,772,2,1,3,1,-,,
71,SULAWESI UTARA,18,21,20,18.262,106,21,927,682,2,3,3,1,1,,
72,SULAWESI TENGAH,23,6,35,26.590,459,10,114,3.404,58,6,3,1,6,,
73,SULAWESI SELATAN,164,86,59,377.527,786,232,1.788,45.612,142,67,3,1,25,,
74,SULAWESI TENGGARA,20,2,,165.629,1.393,1.128,4.305,1.840,32,46,3,1,8,,
75,GORONTALO,6,-,2,5.801,2,6,,717,2,1,3,1,-,,
76,SULAWESI BARAT,11,-,,6.819,73,43,188,75,2,1,3,1,-,,
81,MALUKU,36,43,1.626,238.806,6.143,3.366,3.196,530,193,95,3,1,29,,
82,MALUKU UTARA,19,16,123,45.960,1.203,953,829,1.295,188,40,3,1,25,,
91,PAPUA BARAT,10,-,,6.482,3,1,,1.017,-,-,3,1,-,,
94,PAPUA,16,201,990,190.456,787,38,918,3.733,21,28,3,1,7,,
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,4,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",4,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,4,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),4,1,(13),(14),(15)
11,ACEH,1101,SIMEULUE,9,-,-,7.484,-,-,207,1.554,4,1,6,3,-
,,1102,"ACEH
SINGKIL",9,-,-,23.677,7,2,12,134,4,1,-,1,-
,,1103,"ACEH
SELATAN",18,-,-,13.374,11,10,51,229,4,1,3,1,-
,,1104,"ACEH
TENGGARA",9,-,-,9.366,5,7,4,2.204,4,1,-,1,-
,,1105,"ACEH
TIMUR",8,-,-,1.513,10,5,5,35,4,1,1,1,-
,,1106,"ACEH
TENGAH",7,-,5,5,2,-,7,-,4,1,1,-,-
,,1107,"ACEH
BARAT",17,-,-,2.394,22,1,35,98,4,1,-,-,-
,,1108,"ACEH
BESAR",12,-,-,36,2,2,3,-,4,1,-,-,-
,,1109,PIDIE,4,-,-,223,3,2,13,43,4,1,-,-,-
,,1110,BIREUEN,8,-,-,146,11,16,16,10,4,1,1,1,-
,,1111,"ACEH
UTARA",8,-,-,3.431,25,4,25,218,4,1,1,-,-
,,1112,"ACEH
BARAT
DAYA",8,-,-,460,4,21,14,-,4,1,-,-,-
,,1113,GAYO LUES,10,-,-,484,32,6,35,29,4,1,-,-,-
,,1115,"NAGAN
RAYA",8,-,-,358,-,3,6,-,4,1,-,-,-
,,1116,ACEH JAYA,16,-,-,4.357,1,-,1,520,4,1,-,-,-
,,1117,"BENER
MERIAH",9,-,8,155,7,1,41,-,4,1,-,1,-
,,1118,PIDIE JAYA,4,-,-,61,1,-,3,30,4,1,-,1,-
,,1171,"KOTA
BANDA
ACEH",1,-,-,5,1,-,-,-,4,1,-,-,-
,,1172,"KOTA
SABANG",4,-,-,5,-,1,3,-,4,1,-,-,-
,,1173,"KOTA
LANGSA",4,-,-,2.087,3,-,3,166,4,1,-,-,-
,,1174,"KOTA
LHOKSEU-
MAWE",3,-,-,5,-,-,1,20,4,1,-,-,-
,,1175,"KOTA
SUBULUS-
SALAM",4,-,-,3.368,3,-,3,-,4,1,-,-,-
12,"SUMA-
TERA
UTARA",1201,NIAS,1,-,-,-,-,-,-,3,4,1,-,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,5,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",5,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,5,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),5,1,(13),(14),(15)
,,1202,"MANDAIL-
ING NATAL",2,-,-,300,1,-,12,60,5,1,10,2,1
,,1203,"TAPANULI
SELATAN",2,-,-,-,-,-,2,3,5,1,-,-,-
,,1205,"TAPANULI
UTARA",2,-,-,-,-,-,2,-,5,1,-,-,-
,,1207,"LABUHAN
BATU",2,-,-,175,5,-,5,-,5,1,-,-,-
,,1208,ASAHAN,14,-,2,2.510,4,12,30,529,5,1,1,4,1
,,1210,DAIRI,14,-,-,46,6,10,45,-,5,1,-,-,-
,,1211,KARO,2,-,2,7.256,4,-,28,-,5,1,-,-,-
,,1212,"DELI
SERDANG",5,-,-,-,13,11,36,-,5,1,-,-,-
,,1213,LANGKAT,10,3,1,520,2,14,18,606,5,1,-,-,-
,,1217,SAMOSIR,2,1,1,40,4,-,4,-,5,1,-,-,-
,,1218,"SERDANG
BEDAGAI",1,-,-,55,3,-,8,-,5,1,-,1,-
,,1219,BATU BARA,2,-,-,-,1,17,-,1.048,5,1,-,-,-
,,1220,"PADANG
LAWAS
UTARA",1,-,-,-,35,-,32,-,5,1,-,-,-
,,1222,"LABUHAN
BATU
SELATAN",1,-,-,-,-,2,10,-,5,1,-,-,-
,,1223,"LABUHAN
BATU
UTARA",1,5,-,744,27,-,28,114,5,1,-,-,-
,,1271,"KOTA
SIBOLGA",1,-,-,-,-,-,2,-,5,1,-,-,-
,,1275,"KOTA
MEDAN",6,-,-,14.871,-,3,5,4.254,5,1,-,1,-
